"District","State","fuel_pumps","min_price","max_price","modal_price","mean_price"
"CHURACHANDPUR","Manipur",10,101.29,102.51,101.67,101.75
"CHURU","Rajasthan",39,109.93,111.17,110.43,110.59
"COIMBATORE","Tamil Nadu",130,103.06,104.47,103.17,103.22
"COOCH BIHAR","West Bengal",50,106.24,107.51,107.39,107.08
"CUDDALORE","Tamil Nadu",68,103.77,105.01,104.76,104.59
"CUDDAPAH","Andhra Pradesh",90,110.7,112.8,110.7,111.11
"CUTTACK","Odisha",72,103.28,104.05,103.54,103.54
"Central Delhi","Delhi",11,96.72,96.72,96.72,96.72
"Charaideo","Assam",13,97.41,98.27,97.74,97.84
"DAHOD","Gujarat",22,96.86,97.53,97.09,97.27
"DAKSHIN DINAJPUR","West Bengal",26,106.05,106.73,106.73,106.39
"DAKSHIN KANNAD","Karnataka",95,101.13,102.15,101.13,101.4
"DAMAN","UT OF D&NH AND D&D",11,94.24,94.31,94.31,94.28
"DAMOH","Madhya Pradesh",38,108.69,109.83,109.62,109.35
"DANTEWADA","Chhatisgarh",4,106.39,106.65,106.61,106.54
"DARBHANGA","Bihar",57,107.62,108.35,107.91,107.94
"DARJEELING","West Bengal",36,105.73,107.85,105.73,106.08
"DARRANG","Assam",15,97.23,98.26,97.7,97.66
"DATIA","Madhya Pradesh",25,109.21,109.75,109.36,109.45
"DAUSA","Rajasthan",45,108.52,109.78,108.93,109.09
"DAVANGERE","Karnataka",90,103.05,104.34,103.93,103.92
"DEHRADUN","Uttarakhand",71,94.95,96.56,95.35,95.27
"DEOGARH","Odisha",10,103.83,104.34,104,104.13
"DEOGHAR","Jharkhand",27,99.54,100.16,99.57,99.74
"DEORIA","Uttar Pradesh",87,96.35,96.84,96.35,96.5
"DEVBHUMI DWARKA","Gujarat",36,96.05,97.25,96.21,96.58
"DEWAS","Madhya Pradesh",70,108.51,109.79,108.9,109.01
"DHALAI","Tripura",6,98.31,99.16,98.98,98.74
"DHAMTARI","Chhatisgarh",20,102.6,103.75,103.05,103.04
"DHANBAD","Jharkhand",70,99.8,100.31,99.8,99.98
"DHAR","Madhya Pradesh",93,108.83,110.46,109.5,109.58
"DHARMAPURI","Tamil Nadu",121,103.64,104.34,103.82,103.98
"DHARWAD","Karnataka",71,101.7,102.23,101.71,101.82
"DHAULPUR","Rajasthan",29,108.68,109.17,108.95,108.93
"DHEMAJI","Assam",13,98.11,98.74,98.39,98.43
"DHENKANAL","Odisha",31,103.65,104.63,103.98,104.14
"DHUBURI","Assam",23,97.44,98.38,97.73,97.96
"DHULE","Maharashtra",63,105.94,106.88,106.65,106.39
"DIBANG VALLEY","Arunachal Pradesh",3,95.79,98.05,98.05,97.3
"DIBRUGARH","Assam",53,97.06,98.07,97.88,97.67
"DIMA HASAO","Assam",9,98.41,100.42,100.42,99.36
"DIMAPUR","Nagaland",38,98.18,98.39,98.28,98.29
"DINDIGUL","Tamil Nadu",77,103.16,105.71,103.53,103.71
"DINDORI","Madhya Pradesh",9,109.54,110.52,110.27,110.03
"DIU","UT OF D&NH AND D&D",1,95.26,95.26,95.26,95.26
"DODA","Jammu & Kashmir",8,99.67,100.58,100.31,100.17
"DUMKA","Jharkhand",15,99.94,100.64,100.15,100.26
"DUNGARPUR","Rajasthan",48,109.46,110.89,110.28,110.14
"DURG","Chhatisgarh",57,102.45,103.11,102.81,102.77
"Delhi Shahdara","Delhi",6,96.72,96.72,96.72,96.72
"EAST CHAMPARAN","Bihar",125,108.32,109.13,108.46,108.66
"EAST GARO HILLS","Meghalaya",3,94.32,95.34,95.34,94.97
"EAST GODAVARI","Andhra Pradesh",139,110.85,112.79,110.96,111.55
"EAST IMPHAL","Manipur",29,101.19,101.38,101.24,101.25
"EAST JAINTIA HILLS","Meghalaya",17,95.73,96.06,96.06,95.95
"EAST KHAMENG","Arunachal Pradesh",3,94.46,94.99,94.99,94.81
"EAST KHASI HILLS","Meghalaya",34,95.01,95.82,95.33,95.43
"EAST SIANG","Arunachal Pradesh",9,94.81,95.53,95.12,95.12
"EAST SINGHBHUM","Jharkhand",58,99.78,100.67,99.78,100.06
"ERNAKULAM","Kerala",152,105.59,106.13,105.59,105.7
"ERODE","Tamil Nadu",121,102.94,103.69,103.22,103.33
"ETAH","Uttar Pradesh",35,96.2,97.1,96.68,96.66
"ETAWAH","Uttar Pradesh",38,96.89,97.31,96.9,97.05
"East Delhi","Delhi",15,96.72,96.72,96.72,96.72
"FAIZABAD","Uttar Pradesh",67,96.82,97.37,97.03,97.13
"FARIDABAD","Haryana",52,97.15,97.57,97.49,97.46
"FARIDKOT","Punjab",49,96.23,96.83,96.39,96.57
"FARRUKKHABAD","Uttar Pradesh",32,96.88,97.29,97.13,97.12
"FATEHABAD","Haryana",68,97.58,98.14,97.98,97.84
"FATEHGARH SAHIB","Punjab",53,96.36,97.08,96.87,96.75
"FATEHPUR","Uttar Pradesh",69,96.58,97.74,97.07,97.11
"FAZILKA","Punjab",88,96.48,97,96.76,96.79
"FIROZABAD","Uttar Pradesh",53,96.1,96.6,96.42,96.33
"FIROZPUR","Punjab",70,96.66,97.16,97.05,96.93
"GADAG","Karnataka",47,102.15,102.79,102.25,102.4
"GADCHIROLI","Maharashtra",15,106.82,108.36,106.92,107.21
"GAJAPATI","Odisha",7,105.11,105.97,105.66,105.61
"GANDERBAL","Jammu & Kashmir",6,101.52,101.67,101.52,101.54
"GANDHI NAGAR","Gujarat",50,96.43,97.03,96.7,96.68
"GANGANAGAR","Rajasthan",73,112.1,113.65,113.48,113.06
"GANGTOK","Sikkim",17,102.5,102.5,102.5,102.5
"GANJAM","Odisha",54,103.77,105.8,104.66,104.54
"GARHWA","Jharkhand",19,102.29,102.63,102.29,102.4
"GARIYABAND","Chhatisgarh",12,102.72,104.43,102.72,103.21
"GARIYABAND","Chhatisgarh",12,102.72,104.43,102.72,103.21
"GAUTAM BUDH NAGAR","Uttar Pradesh",49,96.53,97.1,96.79,96.75
"GAYA","Bihar",52,107.81,109.04,108.31,108.36
"GHAZIABAD","Uttar Pradesh",42,96.21,96.58,96.58,96.49
"GHAZIPUR","Uttar Pradesh",55,96.8,97.68,97.51,97.34
"GIR SOMNATH","Gujarat",40,97.76,98.69,98.22,98.14
"GIRIDIH","Jharkhand",49,100.13,101.3,100.7,100.75
"GOALPARA","Assam",15,97.43,97.88,97.78,97.72
"GODDA","Jharkhand",11,100.07,100.89,100.8,100.55
"GOLAGHAT","Assam",33,96.98,97.63,97.18,97.17
"GOMATI","Tripura",10,99.98,100.54,99.98,100.14
"GONDA","Uttar Pradesh",85,96.47,96.93,96.47,96.62
"GONDIA","Maharashtra",29,107.19,107.97,107.64,107.54
"GOPALGANJ","Bihar",50,108.24,109.19,108.44,108.72
"GORAKHPUR","Uttar Pradesh",104,96.35,97.17,96.74,96.76
"GREATER MUMBAI","Maharashtra",32,106.31,106.49,106.31,106.35
"GULBARGA","Karnataka",91,101.71,102.57,101.71,102.02
"GUMLA","Jharkhand",14,100.28,101.25,100.28,100.61
"GUNA","Madhya Pradesh",42,108.94,109.98,109.59,109.53
"GUNTUR","Andhra Pradesh",169,111.45,112.62,111.76,111.92
"GURDASPUR","Punjab",119,96.41,97.05,96.77,96.76
"GURGAON","Haryana",95,96.66,97.18,97.18,97.02
"GWALIOR","Madhya Pradesh",76,108.37,109.42,108.58,108.74
"GYALSHING","Sikkim",5,102.5,102.5,102.5,102.5
"HAILAKANDI","Assam",11,97.63,98.21,97.83,97.87
"HAMIRPUR","Himachal Pradesh",22,95.19,95.89,95.66,95.53
"HAMIRPUR","Uttar Pradesh",29,96.79,97.67,97.56,97.27
"HANUMANGARH","Rajasthan",58,111.39,112.89,112.61,112.33
"HAPUR","Uttar Pradesh",38,96.38,96.72,96.48,96.51
"HARDA","Madhya Pradesh",23,108.85,109.56,109.15,109.18
"HARDOI","Uttar Pradesh",68,96.42,97.56,96.87,97
"HARIDWAR","Uttarakhand",91,94.3,94.64,94.3,94.38
"HASSAN","Karnataka",83,101.97,102.58,101.97,102.18
"HATHRAS","Uttar Pradesh",43,96.16,96.92,96.48,96.51
"HAVERI","Karnataka",47,101.91,103,102.75,102.57
"HAZARIBAGH","Jharkhand",48,100.38,101.25,100.84,100.89
"HINGOLI","Maharashtra",17,107.06,107.93,107.43,107.54
"HISAR","Haryana",115,97.09,97.98,97.71,97.58
"HNAHTHIAL","Mizoram",1,97.08,97.08,97.08,97.08
"HOOGHLY","West Bengal",77,106.03,106.81,106.03,106.41
"HOSHANGABAD","Madhya Pradesh",56,108.36,109.55,108.46,108.69
"HOSHIARPUR","Punjab",131,96.12,96.82,96.41,96.42
"HOWRAH","West Bengal",73,106.03,106.61,106.03,106.12
"HYDERABAD","Telangana",68,109.66,109.83,109.66,109.66
"Hojai","Assam",15,97.4,98.35,97.85,97.88
"IDUKKI","Kerala",32,106.01,108.01,106.01,106.72
"INDORE","Madhya Pradesh",127,108.5,109.48,108.66,108.74
"JABALPUR","Madhya Pradesh",76,108.46,109.26,108.66,108.74
"JAGATSINGHPUR","Odisha",23,102.71,103.43,102.71,102.98
"JAGITIAL","Telangana",39,110.06,111.06,110.35,110.48
"JAHANABAD","Bihar",18,107.74,107.96,107.95,107.85
"JAHBUA","Madhya Pradesh",31,108.86,109.85,109.85,109.43
"JAINTIA HILLS","Meghalaya",5,95.73,95.94,95.83,95.85
"JAIPUR","Rajasthan",219,108.08,109.46,108.48,108.57
"JAISALMER","Rajasthan",27,109.77,111.5,111.5,110.72
"JAJPUR","Odisha",56,103.27,104.12,103.87,103.66
"JALANDHAR","Punjab",120,96.05,96.56,96.18,96.21
"JALAUN","Uttar Pradesh",76,96.89,97.7,97.26,97.28
"JALGAON","Maharashtra",94,105.94,108.04,107.64,107.01
"JALNA","Maharashtra",48,107.16,108.46,107.81,107.86
"JALOR","Rajasthan",90,108.84,111.12,111,110.18
"JALPAIGURI","West Bengal",66,105.73,107.28,105.73,106.09
"JAMMU","Jammu & Kashmir",56,97.49,98.01,97.5,97.54
"JAMNAGAR","Gujarat",58,96.04,96.97,96.37,96.48
"JAMTARA","Jharkhand",9,100.07,100.41,100.38,100.29
"JAMUI","Bihar",15,108.82,109.47,108.96,109.01
"JANGAON","Telangana",36,109.16,109.99,109.6,109.54
"JANJGIR","Chhatisgarh",62,102.38,103.52,102.63,102.83
"JASHPUR","Chhatisgarh",20,103.39,105.32,103.39,104.05
"JAUNPUR","Uttar Pradesh",105,97.12,98.12,97.7,97.66
"JAYASHANKAR BHUPALPA","Telangana",16,109.32,110.2,110.01,109.72
"JHAJJAR","Haryana",83,96.82,97.44,97.38,97.13
"JHALAWAR","Rajasthan",32,108.74,110.23,109.33,109.28
"JHANSI","Uttar Pradesh",62,96.12,96.97,96.25,96.47
"JHARGRAM","West Bengal",18,106.72,107.2,106.92,106.9
"JHARSUGUDA","Odisha",34,103.1,103.83,103.21,103.31
"JHUNJHUNUN","Rajasthan",58,109.54,110.58,110.1,110.06
"JIND","Haryana",81,96.5,97.39,97.3,97.04
"JIRIBAM","Manipur",2,103.27,103.27,103.27,103.27
"JODHPUR","Rajasthan",145,108.18,110.25,108.18,108.97
"JOGULAMBA GADWAL","Telangana",19,111.45,111.98,111.84,111.7
"JORHAT","Assam",29,97.31,97.88,97.45,97.51
"JUNAGADH","Gujarat",52,96.87,97.96,97.1,97.37
"KAIMUR","Bihar",37,108.82,109.33,109.16,109.1
"KAITHAL","Haryana",73,96.71,97.63,97.04,97.07
"KAKCHING","Manipur",7,101.55,101.85,101.55,101.59
"KALAHANDI","Odisha",48,105.75,106.97,106.14,106.42
"KALIMPONG","West Bengal",4,105.98,106.79,105.98,106.34
"KALLAKURICHI","Tamil Nadu",36,103.9,105.04,104.87,104.62
"KAMAREDDY","Telangana",44,110.49,111.87,110.71,111.13
"KAMJONG","Manipur",1,102.26,102.26,102.26,102.26
"KAMLE","Arunachal Pradesh",2,94.96,94.96,94.96,94.96
"KAMRUP","Assam",49,97.02,97.82,97.02,97.25
"KANCHIPURAM","Tamil Nadu",50,102.81,103.52,103.37,103.16
"KANDHAMAL","Odisha",5,104.66,105.94,104.91,105.2
"KANGPOKPI","Manipur",3,101.6,101.6,101.6,101.6
"KANGRA","Himachal Pradesh",68,95.25,96.45,96.45,95.89
"KANKER","Chhatisgarh",12,103.42,104.6,103.92,103.89
"KANNIYAKUMARI","Tamil Nadu",74,103.37,104.05,103.57,103.68
"KANNUAJ","Uttar Pradesh",34,96.79,97.41,97.22,97.12
"KANNUR","Kerala",90,105.87,106.5,105.87,106.07
"KANPUR RURAL","Uttar Pradesh",60,96.28,96.84,96.39,96.62
"KANPUR URBAN","Uttar Pradesh",110,96.27,96.75,96.27,96.39
"KAPURTHALA","Punjab",63,96.05,96.52,96.16,96.25
"KARAIKAL","Pondicherry",17,95.89,95.97,95.89,95.91
"KARAULI","Rajasthan",32,108.53,109.63,109.52,109.12
"KARBI ANGLONG","Assam",12,97.22,98.27,97.63,97.88
"KARGIL","Ladakh",8,100.96,103.01,100.96,101.56
"KARIM NAGAR","Telangana",48,109.32,110.09,109.77,109.73
"KARIMGANJ","Assam",15,97.72,98.21,97.91,97.97
"KARNAL","Haryana",131,96.42,96.99,96.62,96.66
"KARUR","Tamil Nadu",57,102.92,103.43,102.92,103.08
"KASARAGOD","Kerala",38,106.25,107.21,106.37,106.72
"KASHI RAM NAGAR","Uttar Pradesh",32,96.69,97.14,96.86,96.9
"KATHUA","Jammu & Kashmir",21,97.93,100.1,98.21,98.29
"KATIHAR","Bihar",53,108.2,109.31,108.7,108.79
"KATNI","Madhya Pradesh",34,109.22,110.29,109.7,109.78
"KAUSHAMBI","Uttar Pradesh",37,96.53,97.08,97.01,96.81
"KAWARDHA","Chhatisgarh",17,103.21,103.86,103.41,103.47
"KENDRAPARA","Odisha",27,102.87,103.54,103.11,103.14
"KEONJHAR","Odisha",77,103.88,105.65,105.3,104.94
"KHAGARIA","Bihar",26,107.28,107.74,107.59,107.54
"KHAMMAM","Telangana",60,109.37,110.9,109.68,109.94
"KHANDWA","Madhya Pradesh",43,109.18,110.78,109.91,110
"KHARGONE","Madhya Pradesh",59,109.06,110.6,110.08,109.78
"KHAWZAWL","Mizoram",1,97.07,97.07,97.07,97.07
"KHEDA","Gujarat",51,96.22,96.98,96.66,96.56
"KHORDHA","Odisha",61,103,103.74,103.19,103.22
"KHOWAI","Tripura",8,99.06,99.34,99.34,99.22
"KHUNTI","Jharkhand",9,99.76,99.91,99.76,99.79
"KINNAUR","Himachal Pradesh",3,98.15,99.28,99.08,98.84
"KIPHERE","Nagaland",2,101.8,101.87,101.87,101.84
"KISHANGANJ","Bihar",22,109.35,109.91,109.47,109.61
"KISHTWAR","Jammu & Kashmir",1,100.5,100.5,100.5,100.5
"KODAGU","Karnataka",23,102.69,103.68,103.42,103.42
"KODERMA","Jharkhand",30,100.5,100.97,100.97,100.76
"KOHIMA","Nagaland",19,98.84,100.26,99.54,99.52
"KOKRAJHAR","Assam",23,97.1,97.87,97.2,97.44
"KOLAR","Karnataka",56,101.64,102.31,101.87,101.93
"KOLASIB","Mizoram",7,94.14,94.82,94.64,94.52
"KOLHAPUR","Maharashtra",109,106.05,107.74,106.47,106.6
"KOLKATA","West Bengal",56,106.03,106.03,106.03,106.03
"KOLLAM","Kerala",97,106.59,107.38,107.01,107
"KOMRAM BHEEM ASIFABA","Telangana",12,111.13,111.93,111.45,111.59
"KONDAGAON","Chhatisgarh",8,102.72,104.75,104.19,104.12
"KOPPAL","Karnataka",64,102.72,103.43,102.86,103.03
"KORAPUT","Odisha",31,107.59,108.43,107.79,107.95
"KORBA","Chhatisgarh",40,102.13,104.37,102.14,102.35
"KORIA","Chhatisgarh",17,102.87,104.92,103.38,103.49
"KOTA","Rajasthan",46,107.96,108.83,107.96,108.25
"KOTTAYAM","Kerala",74,105.7,106.61,106.09,106.17
"KOZHIKODE","Kerala",82,105.87,106.4,105.87,106.08
"KRISHNA","Andhra Pradesh",168,111.11,112.56,111.33,111.65
"KRISHNAGIRI","Tamil Nadu",99,104.14,105.09,104.7,104.48
"KULGAM","Jammu & Kashmir",9,100.93,101.29,100.97,101.07
"KULLU","Himachal Pradesh",17,96.49,97.82,97.1,97.21
"KUPWARA","Jammu & Kashmir",7,101.8,102.09,102.09,101.97
"KURNOOL","Andhra Pradesh",109,110.87,112.81,112.03,111.77
"KURUKSHETRA","Haryana",69,96.94,97.33,96.99,97.11
"KURUNG KUMEY","Arunachal Pradesh",1,94.98,94.98,94.98,94.98
"KUSHINAGAR","Uttar Pradesh",67,96.35,97.06,96.69,96.69
"KUTCH","Gujarat",104,96.22,97.78,96.22,96.79
"Kamrup Metro","Assam",51,97.02,97.33,97.02,97.03
"LAHUL & SPITI","Himachal Pradesh",3,99.27,101.24,99.27,99.93
"LAKHIMPUR","Assam",19,98.54,100.05,99.26,99.21
"LAKHIMPUR","Uttar Pradesh",115,96.55,97.92,97.28,97.22
"LAKHIMPUR","Uttar Pradesh",115,96.55,97.92,97.28,97.22
"LALITPUR","Uttar Pradesh",46,96.7,97.74,97.15,97.27
"LATEHAR","Jharkhand",14,100.81,101.87,100.81,101.21
"LATUR","Maharashtra",63,106.86,108.15,107.38,107.58
"LAWNGTLAI","Mizoram",2,97.89,98.8,98.8,98.34
"LEH","Ladakh",11,101.93,104.41,103.61,103.57
"LEPARADA","Arunachal Pradesh",4,95.51,95.51,95.51,95.51
"LOHARDAGA","Jharkhand",14,100.47,100.78,100.72,100.69
"LOHIT","Arunachal Pradesh",3,95.89,96.4,95.89,96.16
"LONGDING","Arunachal Pradesh",3,95.03,95.49,95.49,95.34
"LONGLENG","Nagaland",2,100.17,100.76,100.17,100.47
"LOWER DIBANG VALLEY","Arunachal Pradesh",4,95.69,96.16,96.16,96.01
"LOWER SIANG","Arunachal Pradesh",1,94.27,94.27,94.27,94.27
"LOWER SUBANSIRI","Arunachal Pradesh",3,93.43,94.48,93.69,93.87
"LUCKEESARAI","Bihar",16,108.24,108.88,108.88,108.8
"LUCKNOW","Uttar Pradesh",114,96.33,96.8,96.57,96.55
"LUDHIANA","Punjab",208,96.31,96.92,96.81,96.67
"LUNGLEI","Mizoram",4,97.22,97.54,97.28,97.33
"MADHEPURA","Bihar",36,107.89,108.49,108.35,108.18
"MADHUBANI","Bihar",66,108.01,108.87,108.24,108.44
"MADURAI","Tamil Nadu",93,103.19,103.8,103.35,103.35
"MAHABUBABAD","Telangana",28,109.47,110.03,109.47,109.72
